,mean,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,gender
0,-9.932556e-07,-347.0538,129.55504,-55.22003,7.0354843,-8.781271,-41.72727,-30.701647,-7.518903,-6.697319,-0.70202714,-3.838876,-4.3770175,-6.2631154,2.8491886,-5.453543,-1.9976051,-2.154651,-10.804877,-12.904769,-10.370016,-2.9466288,-6.6238093,2.4512208,2.8457158,3.6154714,6.621502,-0.117436424,0.87021744,2.176844,9.033854,8.046145,8.899412,4.7466555,5.4531937,5.1493526,2.395207,1.6757153,3.0664096,1.3446494,-2.9835422,-1.1252155,0.3960138,-0.8270691,-1.2545177,-3.2228696,-2.7981293,0.6772424,-2.371776,-1.8821954,0.9274465,0
1,-2.4694693e-06,-351.37747,144.41466,11.352474,12.9650345,10.842688,0.38318178,-4.7803426,-9.875783,-2.7501438,-0.49777097,-8.435521,0.8967317,-2.919156,-0.5918335,-1.4349324,7.014406,-2.74277,-0.9774828,-1.2469566,0.8593313,-3.8129954,-2.7191117,-1.4709941,-1.8860761,-2.799585,0.29538372,-0.5386651,0.34418747,-2.1959863,-0.97724044,-2.6075413,0.6262018,-1.1001717,0.20860836,-2.4520352,-1.1876963,-2.395878,-0.054193348,0.3263401,0.30595353,-0.7538776,1.3672568,-0.5150814,0.042379744,-0.21085201,0.31041464,-0.6180381,-0.30450106,-0.43409312,0.5166353,1
2,7.5506854e-08,-363.69354,102.32392,-25.9935,13.850392,4.113046,-11.512809,-19.954945,-7.0839267,-11.874331,2.5142562,-10.15613,-14.670969,-6.4871855,-5.7666917,-7.859021,-8.186721,-6.050908,-6.0193677,-15.690874,-6.090317,-6.9005775,-6.651792,0.070740245,-3.333488,2.1459255,-2.0121188,0.736062,-0.9754365,-1.1933942,0.55706865,-2.396553,1.0230472,-0.78841215,2.251591,0.13877326,2.642781,1.9437873,1.5447856,2.1850162,4.9758806,0.6614053,5.558146,3.8719492,3.4832585,2.920798,1.8775126,1.3161186,0.65589476,1.4301394,0.5650208,1
3,-7.2543364e-05,-318.7684,98.505035,-24.905468,14.409732,-16.143908,-9.669208,-10.831576,-17.042376,-6.865626,-7.1223397,-6.717348,-4.2265744,-2.7891364,-2.6348295,-4.89142,-4.1995587,-3.664331,-7.0700936,-10.921774,-6.8440194,-7.969926,-4.1087904,-4.0866327,1.9747506,1.1868831,8.635896,6.929809,7.3519826,10.15535,11.455449,8.429931,6.9083467,0.38850936,-1.412069,-1.0312189,0.5803512,-0.17035541,-1.4731481,-1.0492364,-0.609041,-4.683504,-0.8572329,-3.269573,-1.997428,-3.919907,-3.7429252,-0.782304,-1.1197647,-1.9285662,-1.2575169,0
4,5.0153372e-05,-237.19504,99.89941,-20.931286,34.07946,-14.696975,-2.4392612,-4.8580537,-11.041524,-4.785367,-2.015997,-3.550296,1.0232505,-10.294813,9.3502,-2.7859051,3.0074196,-7.8061156,3.951318,-3.4319613,0.41158432,-7.006701,6.0647154,-8.1917305,1.1026759,-1.9550732,-0.55512726,-4.5726557,-0.38775176,-1.5693603,-0.7279304,-0.6527865,1.2531276,-2.3305185,2.6599503,-2.4332488,1.9582078,-1.4581581,-0.049142208,-1.4521866,1.2402155,-1.1920693,2.59039,-0.688468,1.8905458,1.5767286,1.756294,0.4349742,3.465819,0.2604646,1.6523782,1
5,-7.26974e-06,-325.37933,126.20061,-20.043827,43.950306,-1.7738762,-2.9114845,-4.2407846,0.64515525,-7.5445595,-3.9055727,1.3815359,-7.855023,3.3943632,-7.230271,1.7092452,-2.1941662,-6.014203,1.089676,-4.528856,-3.1747007,-3.6020284,0.01721259,-4.5751243,-0.80618757,-0.42721707,-3.1941488,-0.55304193,-2.3406875,-0.84565014,-4.166815,-1.3813869,-3.57455,-4.2596946,-2.4015894,-3.9714937,-2.5447981,-4.5564632,-1.607596,-2.228967,-0.4052881,0.71368396,0.06430172,2.314396,-0.048599564,1.1176943,0.15763308,0.48051566,1.1239687,0.83583796,2.4062107,1
6,7.3365886e-06,-375.9862,94.55885,-10.240081,21.617104,-11.77433,-35.678223,-30.744413,-18.389015,-15.4281,-3.0478086,-1.03321,-7.37705,-5.209673,3.3280094,-5.4888277,-0.6073669,0.6485783,-8.836204,-11.7636,-8.565782,-5.542909,-5.326787,0.46787605,-2.713392,-1.8433536,6.209196,2.8820982,3.2878003,5.297682,9.351548,5.5409055,6.9681396,5.5201793,3.592127,0.9893464,1.7158251,2.3539774,6.8685827,5.0575576,1.140275,-1.5518013,0.42537868,-0.53820974,1.0104939,-1.6171997,-4.5278525,-0.910801,0.14632434,-0.89561564,0.16330677,0
7,2.2130747e-05,-393.04926,126.956764,-27.560308,61.276455,-16.319021,22.636242,-23.854254,-6.442378,-6.419838,-3.7378714,-4.7317867,-13.353847,12.424638,-18.719242,15.482712,-4.971233,-6.6405263,4.2963104,-12.159258,1.7120675,-10.829848,4.8125105,-9.806884,-4.2303762,-1.9563096,-9.513809,3.2912261,-8.213629,-0.8936018,-4.3019204,-2.8880322,-6.142775,-4.489709,-2.4408898,-4.1743917,1.1881925,-5.4962077,3.559508,-0.6647163,2.603321,3.5233622,-0.49917123,3.1443746,0.6577085,5.700553,-0.07665229,1.5737787,0.6762128,0.7257897,-0.09960421,1
8,-2.2094544e-05,-306.0179,93.321754,-73.05328,-1.4309419,-23.78866,-22.268621,-22.983902,-8.832537,-15.976404,0.29207465,-17.54342,-0.97898424,-3.4328446,-4.8289337,-3.4279652,-3.3883884,-2.0297909,-7.2661176,-4.264833,-0.3777431,-5.852064,-4.281592,-6.364335,1.3922905,-5.5733104,-0.9437849,-2.945353,0.31112024,-2.4699252,0.31034088,0.94542235,-1.5027748,-2.6574779,1.4273762,3.1260974,5.0239897,5.811405,5.6044364,4.042234,5.5180783,1.4279788,1.8626194,0.38397542,2.4387186,1.1959739,2.8345575,1.5004447,2.2887518,-0.3229107,0.42594334,0
9,8.118376e-06,-296.2065,106.193665,-10.143522,25.89773,-9.415215,4.331618,-1.3954924,7.8503194,-15.929004,6.06714,-8.350895,-13.558849,2.2554548,-5.349586,-11.72983,-4.8856215,-14.188326,1.4361213,-0.54660535,-9.666077,-9.785165,-0.8128201,-4.4818254,-7.5554633,-4.351377,-0.91623104,-8.082505,-3.4511743,-0.6797807,-5.034182,-3.1114771,1.612188,-2.3201017,0.9195689,-4.2003226,-2.7776694,-2.5008438,-5.4264474,-1.5158156,-3.205469,-5.915277,-2.8651366,-3.3468482,-4.3183804,-3.2163002,-3.4598663,-3.1102264,0.33603266,-1.3039609,-1.0974782,1
